what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354427501
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354427535
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354427573
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354427779
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354427963
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354428119
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1271354428791
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354429763
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354430087
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354430451
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354430819
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271354433490
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1271354433944
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354434980
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354435146
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354435321
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1271354435513
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271354438513
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1271354439231
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.format",1271354442616
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.findIncrementalReverse",1271354443529
error,log,,,"Plug-in 'org.eclipse.tptp.trace.arm.ui' contributed an invalid Menu Extension (Path: 'btmSourceMenu' is invalid): org.eclipse.tptp.trace.arm.ui.ArmAddAction",1271354453813
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1271354454812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271354455608
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271355590823
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271355599123
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1271355602487
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271355604662
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271355666952
error,log,,,"Plug-in 'org.eclipse.tptp.trace.arm.ui' contributed an invalid Menu Extension (Path: 'btmSourceMenu' is invalid): org.eclipse.tptp.trace.arm.ui.ArmAddAction",1271355671130
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1271355672745
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271355673867
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271355745447
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1271355753132
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271355753864
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAutomatically",1271355763123
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAutomatically",1271355765105
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271355768325
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1271355769989
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271355770166
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1271355773649
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1271355777239
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1271355782729
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355783106
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355783342
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355783497
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355783678
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355783845
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355784040
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355784234
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355784496
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355784816
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355785185
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355785495
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355785827
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271355787065
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1271355789001
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271355797269
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271355810659
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271356108118
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271356110450
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271356147900
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271356150442
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271356152610
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.ide.ant",1271356154801
stopped,bundle,org.eclipse.tptp.test.tools.junit.plugin,4.5.1.v201001111000,"org.eclipse.tptp.test.tools.junit.plugin",1271356154801
stopped,bundle,org.eclipse.hyades.test.tools.ui,4.6.2.v201002100300,"org.eclipse.hyades.test.tools.ui",1271356154801
stopped,bundle,org.eclipse.hyades.test.ui.extensions,4.5.2.v201002100300,"org.eclipse.hyades.test.ui.extensions",1271356154801
stopped,bundle,org.eclipse.tptp.test.recorders.url,4.6.2.v200912231900,"org.eclipse.tptp.test.recorders.url",1271356154801
stopped,bundle,org.eclipse.tptp.test.samples,4.3.2.v200911121900,"org.eclipse.tptp.test.samples",1271356154801
stopped,bundle,org.eclipse.hyades.test.ui,4.2.702.v201002100300,"org.eclipse.hyades.test.ui",1271356154801
stopped,bundle,org.eclipse.tptp.monitoring.instrumentation.ui,4.4.201.v200908220100,"org.eclipse.tptp.monitoring.instrumentation.ui",1271356154806
stopped,bundle,org.eclipse.tptp.trace.arm.ui,4.3.300.v200908220100,"org.eclipse.tptp.trace.arm.ui",1271356154807
stopped,bundle,org.eclipse.tptp.platform.instrumentation.ui,4.3.200.v200905160100,"org.eclipse.tptp.platform.instrumentation.ui",1271356154807
stopped,bundle,org.eclipse.tptp.platform.profile.server.wst,4.3.301.v201002100300,"org.eclipse.tptp.platform.profile.server.wst",1271356154807
stopped,bundle,org.eclipse.tptp.platform.profile.server.core,4.2.200.v201002100300,"org.eclipse.tptp.platform.profile.server.core",1271356154809
stopped,bundle,org.eclipse.tptp.platform.jvmti.client,4.4.301.v201001282132,"org.eclipse.tptp.platform.jvmti.client",1271356154809
stopped,bundle,org.eclipse.tptp.platform.integration.pde,4.4.200.v200906191311,"org.eclipse.tptp.platform.integration.pde",1271356154809
stopped,bundle,org.eclipse.ajdt.mylyn.ui,2.0.2.e35x-20100105-0900,"org.eclipse.ajdt.mylyn.ui",1271356154812
stopped,bundle,org.eclipse.ajdt.ui,2.0.2.e35x-20100105-0900,"org.eclipse.ajdt.ui",1271356154814
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1271356154814
stopped,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1271356154851
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1271356154891
stopped,bundle,org.eclipse.tptp.trace.jvmti.client,4.4.302.v200912241900,"org.eclipse.tptp.trace.jvmti.client",1271356154892
